iter	Logloss
0	0.6856286737
1	0.6774252912
2	0.6691701726
3	0.6612711932
4	0.6537694446
5	0.6466433133
6	0.6395746998
7	0.6326399921
8	0.6271933753
9	0.6205973189
10	0.6143260416
11	0.6080969594
12	0.6018557575
13	0.5958758029
14	0.5902060341
15	0.5843603591
16	0.5787745842
17	0.5731710883
18	0.5681631506
19	0.563269526
20	0.5581829926
21	0.5531239233
22	0.5483598375
23	0.5437989014
24	0.5404801265
25	0.5365398495
26	0.5332082413
27	0.528895465
28	0.5252334838
29	0.5212130451
30	0.5172079433
31	0.5131480692
32	0.5096776346
33	0.505842334
34	0.5023728758
35	0.4990140406
36	0.4954722431
37	0.4919507307
38	0.4886275023
39	0.4854148782
40	0.4830693212
41	0.480103214
42	0.4770727582
43	0.4741527756
44	0.4712221673
45	0.468529603
46	0.4662560151
47	0.4634499806
48	0.4615573238
49	0.459030798
50	0.4565152377
51	0.4538343985
52	0.4523668153
53	0.4505860133
54	0.4490064652
55	0.4471458868
56	0.4449102535
57	0.4427646469
58	0.4413338886
59	0.4391114812
60	0.4372077696
61	0.4356782438
62	0.4341231385
63	0.4319352218
64	0.4299906204
65	0.4281069984
66	0.4268378972
67	0.4250046706
68	0.4232332397
69	0.4221415554
70	0.4204947239
71	0.4186689461
72	0.4173239664
73	0.415652139
74	0.4139960977
75	0.4124520174
76	0.410909538
77	0.409870167
78	0.4084718228
79	0.4074399817
80	0.4059518147
81	0.405079371
82	0.4035937061
83	0.402183568
84	0.4007542349
85	0.4003074162
86	0.3990717292
87	0.3982638393
88	0.396914448
89	0.395952961
90	0.3949137443
91	0.3943268916
92	0.3931987734
93	0.3922936973
94	0.3911213951
95	0.3898668246
96	0.3888139294
97	0.3882972262
98	0.3872015636
99	0.3863089755
100	0.3854445992
101	0.3843827609
102	0.3842088402
103	0.3832849465
104	0.3821489754
105	0.3816049091
106	0.381011382
107	0.380035795
108	0.3795724937
109	0.3785915234
110	0.3778391518
111	0.3770349631
112	0.376290794
113	0.375458355
114	0.3745878384
115	0.374455481
116	0.3738470577
117	0.3731338879
118	0.372352186
119	0.3716564545
120	0.3708513416
121	0.3699536807
122	0.3695990322
123	0.3693067313
124	0.368563367
125	0.367868301
126	0.3672551772
127	0.3664612381
128	0.366119006
129	0.3656159351
130	0.3653481778
131	0.3647270156
132	0.364444453
133	0.3637389359
134	0.3630060447
135	0.3627505154
136	0.3621065964
137	0.3618541583
138	0.361150421
139	0.3604282519
140	0.3602012908
141	0.3599947618
142	0.359610529
143	0.3591463978
144	0.3585872422
145	0.3580125527
146	0.3578239221
147	0.3577058824
148	0.3570758773
149	0.3569499406
150	0.3563597705
151	0.3557562066
152	0.3551500725
153	0.3548939054
154	0.3542748193
155	0.3536869157
156	0.3531346999
157	0.3530454633
158	0.3523228111
159	0.3520493888
160	0.3513974966
161	0.3509062233
162	0.3507828179
163	0.3501918219
164	0.3500225336
165	0.3496491809
166	0.3496030099
167	0.3490746
168	0.3484623934
169	0.348019593
170	0.3478816159
171	0.3477287113
172	0.3472347798
173	0.3467746667
174	0.3466708621
175	0.346346014
176	0.3458478237
177	0.3454739548
178	0.3451394024
179	0.3445985207
180	0.3441387898
181	0.3440969399
182	0.3436298205
183	0.3433758502
184	0.3428085075
185	0.3423963695
186	0.3418924467
187	0.3416336589
188	0.3411259351
189	0.3406366477
190	0.3402551937
191	0.3398382673
192	0.3398007075
193	0.3393780432
194	0.3393143312
195	0.3388698093
196	0.338605818
197	0.33844915
198	0.3383816998
199	0.3380564099
