iter	Passed	Remaining
0	4	854
1	8	874
2	14	957
3	20	1013
4	24	970
5	28	909
6	34	944
7	38	930
8	42	893
9	49	944
10	54	928
11	60	950
12	67	964
13	71	953
14	78	969
15	83	958
16	88	957
17	95	967
18	99	951
19	104	936
20	111	948
21	115	937
22	122	943
23	126	926
24	129	907
25	135	906
26	140	900
27	145	890
28	153	902
29	157	894
30	164	894
31	170	895
32	173	880
33	181	883
34	185	876
35	191	870
36	198	876
37	203	867
38	210	868
39	215	862
40	218	848
41	227	854
42	231	846
43	238	844
44	244	841
45	248	833
46	256	833
47	260	826
48	264	815
49	272	818
50	277	810
51	283	808
52	288	798
53	292	791
54	297	783
55	303	780
56	308	773
57	316	775
58	319	764
59	326	760
60	332	758
61	336	748
62	341	743
63	348	741
64	353	733
65	361	733
66	364	724
67	371	720
68	378	719
69	382	710
70	391	711
71	396	704
72	403	702
73	408	695
74	414	690
75	421	687
76	425	680
77	431	675
78	437	669
79	442	663
80	450	661
81	453	652
82	459	647
83	465	643
84	470	636
85	474	629
86	481	625
87	484	616
88	492	613
89	497	607
90	502	601
91	507	595
92	512	589
93	518	585
94	525	580
95	530	574
96	539	572
97	542	564
98	548	559
99	555	555
100	560	549
101	568	546
102	570	537
103	575	531
104	582	527
105	585	519
106	589	512
107	597	508
108	600	501
109	605	495
110	612	491
111	617	484
112	625	481
113	630	475
114	636	470
115	641	464
116	645	458
117	652	453
118	659	449
119	666	444
120	672	439
121	677	433
122	683	427
123	687	421
124	691	415
125	700	411
126	704	405
127	711	400
128	716	394
129	720	388
130	725	382
131	732	377
132	735	370
133	744	366
134	748	360
135	752	353
136	760	349
137	763	342
138	768	337
139	775	332
140	778	325
141	783	319
142	789	314
143	795	309
144	803	304
145	807	298
146	810	292
147	816	286
148	822	281
149	824	274
150	836	271
151	841	265
152	849	260
153	852	254
154	858	249
155	865	244
156	870	238
157	875	232
158	882	227
159	889	222
160	898	217
161	907	212
162	911	206
163	919	201
164	926	196
165	934	191
166	938	185
167	944	179
168	953	174
169	958	169
170	964	163
171	969	157
172	975	152
173	984	147
174	987	141
175	996	135
176	1002	130
177	1013	125
178	1026	120
179	1035	115
180	1044	109
181	1051	103
182	1057	98
183	1066	92
184	1072	86
185	1080	81
186	1087	75
187	1094	69
188	1101	64
189	1109	58
190	1115	52
191	1123	46
192	1128	40
193	1135	35
194	1141	29
195	1146	23
196	1156	17
197	1161	11
198	1165	5
199	1173	0
